time,q1,q2,q3,q4,q5,q6,q7
0.01,8.56605e-09,0.00265581,8.92349e-09,-0.000165518,1.70335e-08,0.0028012,3.4464e-08
0.02,1.71321e-08,0.00531162,1.7847e-08,-0.000331037,3.4067e-08,0.0056024,6.8928e-08
0.03,2.56981e-08,0.00796743,2.67705e-08,-0.000496555,5.11005e-08,0.0084036,1.03392e-07
0.04,3.10927e-08,0.0106006,3.82607e-08,-0.000703025,7.09706e-08,0.0112235,1.4013e-07
0.05,3.49708e-08,0.0132224,5.13038e-08,-0.000929858,9.2757e-08,0.0140528,1.78842e-07
0.06,3.55892e-08,0.0158216,6.72941e-08,-0.00119733,1.18203e-07,0.0169005,2.20951e-07
0.07,3.62077e-08,0.0184208,8.32844e-08,-0.0014648,1.43649e-07,0.0197482,2.6306e-07
0.08,3.66859e-08,0.0210201,9.9597e-08,-0.00173207,1.69698e-07,0.0225958,3.0596e-07
0.09,3.71641e-08,0.0236194,1.1591e-07,-0.00199933,1.95747e-07,0.0254434,3.48859e-07
0.1,3.261e-08,0.0261847,1.3628e-07,-0.0023272,2.26764e-07,0.0283183,3.95829e-07
0.11,2.78909e-08,0.0287502,1.56665e-07,-0.00265484,2.5787e-07,0.0311932,4.42742e-07
0.12,2.31718e-08,0.0313157,1.77051e-07,-0.00298248,2.88976e-07,0.0340681,4.89655e-07
0.13,1.3303e-08,0.0338354,2.01612e-07,-0.00339107,3.24842e-07,0.0369791,5.40436e-07
0.14,2.9952e-09,0.0363554,2.26478e-07,-0.00379933,3.61237e-07,0.0398901,5.91622e-07
0.15,-7.91905e-09,0.0388639,2.50998e-07,-0.0042277,3.96949e-07,0.04281,6.41182e-07
0.16,-2.02906e-08,0.0413495,2.76213e-07,-0.0046962,4.33343e-07,0.0457476,6.90691e-07
0.17,-3.26621e-08,0.0438351,3.01427e-07,-0.0051647,4.69737e-07,0.0486853,7.40199e-07
0.18,-4.53986e-08,0.0463209,3.269e-07,-0.00563295,5.06555e-07,0.0516228,7.90032e-07
0.19,-5.8135e-08,0.0488066,3.52373e-07,-0.0061012,5.43372e-07,0.0545604,8.39865e-07
0.2,-7.25935e-08,0.0512695,3.79324e-07,-0.00660935,5.82143e-07,0.0575155,8.9145e-07
0.21,-8.83787e-08,0.0536979,4.07537e-07,-0.0071774,6.22431e-07,0.0604968,9.44536e-07
0.22,-1.04164e-07,0.0561264,4.3575e-07,-0.00774545,6.62718e-07,0.0634781,9.97621e-07
0.23,-1.20498e-07,0.058555,4.64337e-07,-0.00831318,7.03602e-07,0.0664593,1.05114e-06
0.24,-1.3781e-07,0.0609492,4.9365e-07,-0.00894006,7.45542e-07,0.0694662,1.10552e-06
